tick,timestamp_ms,avg_packet_loss,num_degraded_channels,num_degraded_devices
1,100,0.9833333333333334,2,6
2,200,0.9833333333333334,2,6
3,300,0.6555555555555556,2,0
4,400,0.49583333333333335,2,0
5,500,0.39666666666666667,2,0
6,600,0.3333333333333333,2,0
7,700,0.28571428571428564,2,0
8,800,0.25,2,0
9,900,0.22222222222222224,2,0
10,1000,0.19999999999999998,2,0
11,1100,0.27272727272727265,2,6
12,1200,0.25,2,0
13,1300,0.23076923076923075,2,0
14,1400,0.21428571428571427,2,0
15,1500,0.19999999999999998,2,0
16,1600,0.1875,2,0
17,1700,0.1784313725490196,2,0
18,1800,0.16944444444444443,2,0
19,1900,0.1605263157894737,2,0
20,2000,0.1525,2,0
21,2100,0.14523809523809525,2,0
22,2200,0.13939393939393938,2,0
23,2300,0.1760869565217391,2,6
24,2400,0.20972222222222223,2,6
25,2500,0.20133333333333334,2,0
26,2600,0.2320512820512821,2,6
27,2700,0.2240740740740741,2,0
28,2800,0.21607142857142855,2,0
29,2900,0.20977011494252873,2,0
30,3000,0.20333333333333334,2,0
31,3100,0.1967741935483871,2,0
32,3200,0.19114583333333335,2,0
33,3300,0.18535353535353535,2,0
34,3400,0.18039215686274512,2,0
35,3500,0.17523809523809522,2,0
36,3600,0.1703703703703704,2,0
37,3700,0.1662162162162162,2,0
38,3800,0.16271929824561404,2,0
39,3900,0.1594017094017094,2,0
40,4000,0.15541666666666668,1,0
41,4100,0.15162601626016262,2,0
42,4200,0.14801587301587305,2,0
43,4300,0.1445736434108527,2,0
44,4400,0.14166666666666666,2,0
45,4500,0.1385185185185185,2,0
46,4600,0.13550724637681158,2,0
47,4700,0.15390070921985813,2,6
48,4800,0.1715277777777778,2,6
49,4900,0.16836734693877553,2,0
50,5000,0.16533333333333336,2,0
51,5100,0.16209150326797386,2,0
52,5200,0.15897435897435896,1,0
53,5300,0.17484276729559747,2,6
54,5400,0.1722222222222222,1,0
55,5500,0.16909090909090907,1,0
56,5600,0.16607142857142856,2,0
57,5700,0.16374269005847955,2,0
58,5800,0.16120689655172413,2,0
59,5900,0.15847457627118644,2,0
60,6000,0.15611111111111112,2,0
61,6100,0.153551912568306,2,0
62,6200,0.1510752688172043,2,0
63,6300,0.14894179894179896,2,0
64,6400,0.14687499999999998,2,0
65,6500,0.14512820512820512,2,0
66,6600,0.15808080808080807,2,6
67,6700,0.15597014925373134,2,0
68,6800,0.15416666666666667,2,0
69,6900,0.15241545893719807,2,0
70,7000,0.15047619047619046,1,0
71,7100,0.1483568075117371,2,0
72,7200,0.14652777777777778,2,0
73,7300,0.14452054794520547,2,0
74,7400,0.14256756756756758,2,0
75,7500,0.14088888888888887,2,0
76,7600,0.13925438596491227,2,0
77,7700,0.13766233766233765,2,0
78,7800,0.1361111111111111,2,0
79,7900,0.13438818565400845,2,0
80,8000,0.13270833333333332,2,0
81,8100,0.1434156378600823,2,6
82,8200,0.14166666666666666,2,0
83,8300,0.13995983935742973,2,0
84,8400,0.13849206349206347,2,0
85,8500,0.1368627450980392,2,0
86,8600,0.13527131782945737,2,0
87,8700,0.14521072796934867,2,6
88,8800,0.14393939393939395,2,0
89,8900,0.14232209737827717,2,0
90,9000,0.14092592592592593,2,0
91,9100,0.13956043956043954,2,0
92,9200,0.13804347826086955,2,0
93,9300,0.13673835125448028,2,0
94,9400,0.13528368794326243,2,0
95,9500,0.133859649122807,2,0
96,9600,0.14270833333333333,2,6
97,9700,0.14123711340206183,2,0
98,9800,0.13996598639455785,2,0
99,9900,0.13872053872053872,2,0
100,10000,0.14716666666666667,2,6
101,10100,0.14587458745874587,2,0
102,10200,0.14460784313725492,2,0
103,10300,0.15275080906148866,2,6
104,10400,0.1516025641025641,2,0
105,10500,0.15031746031746032,2,0
106,10600,0.14889937106918238,2,0
107,10700,0.14750778816199375,2,0
108,10800,0.14614197530864198,2,0
109,10900,0.1448012232415902,2,0
110,11000,0.1434848484848485,2,0
111,11100,0.14219219219219217,2,0
112,11200,0.14151785714285714,2,0
113,11300,0.14041297935103245,2,0
114,11400,0.1391812865497076,2,0
115,11500,0.1381159420289855,2,0
116,11600,0.13706896551724138,2,0
117,11700,0.1358974358974359,2,0
118,11800,0.13474576271186442,2,0
119,11900,0.13375350140056022,2,0
120,12000,0.13277777777777777,2,0
121,12100,0.1318181818181818,2,0
122,12200,0.1307377049180328,2,0
123,12300,0.1296747967479675,2,0
124,12400,0.12862903225806452,2,0
125,12500,0.1276,2,0
126,12600,0.12658730158730158,2,0
127,12700,0.13333333333333333,2,6
128,12800,0.132421875,2,0
129,12900,0.1313953488372093,2,0
130,13000,0.13038461538461535,2,0
131,13100,0.1296437659033079,2,0
132,13200,0.12866161616161614,2,0
133,13300,0.12769423558897242,2,0
134,13400,0.12674129353233832,2,0
135,13500,0.1259259259259259,2,0
136,13600,0.12512254901960784,2,0
137,13700,0.13150851581508516,2,6
138,13800,0.13780193236714977,2,6
139,13900,0.14400479616306955,2,6
140,14000,0.14309523809523808,2,0
141,14100,0.14208037825059103,2,0
142,14200,0.14119718309859156,2,0
143,14300,0.1470862470862471,2,6
144,14400,0.14606481481481484,1,0
145,14500,0.14505747126436783,2,0
146,14600,0.1441780821917808,2,0
147,14700,0.1433106575963719,2,0
148,14800,0.14234234234234233,2,0
149,14900,0.14798657718120806,2,6
150,15000,0.147,2,0
151,15100,0.15253863134657838,2,6
152,15200,0.15153508771929824,2,0
153,15300,0.15675381263616558,2,6
154,15400,0.15573593073593073,2,0
155,15500,0.15473118279569895,2,0
156,15600,0.15384615384615385,2,0
157,15700,0.15286624203821655,2,0
158,15800,0.1518987341772152,2,0
159,15900,0.1510482180293501,2,0
160,16000,0.15010416666666668,2,0
161,16100,0.14937888198757765,2,0
162,16200,0.1484567901234568,2,0
163,16300,0.1476482617586912,2,0
164,16400,0.14684959349593496,2,0
165,16500,0.14606060606060609,2,0
166,16600,0.15110441767068272,2,6
167,16700,0.15608782435129742,2,6
168,16800,0.1552579365079365,2,0
169,16900,0.1544378698224852,2,0
170,17000,0.1535294117647059,2,0
171,17100,0.15282651072124756,2,0
172,17200,0.15193798449612403,2,0
173,17300,0.15115606936416184,2,0
174,17400,0.1502873563218391,2,0
175,17500,0.14942857142857144,2,0
176,17600,0.14867424242424243,2,0
177,17700,0.14792843691148777,1,0
178,17800,0.14719101123595504,2,0
179,17900,0.1464618249534451,2,0
180,18000,0.14564814814814817,2,0
181,18100,0.14511970534069982,2,0
182,18200,0.1498168498168498,2,6
183,18300,0.14899817850637523,2,0
184,18400,0.14818840579710146,2,0
185,18500,0.1475675675675676,2,0
186,18600,0.14695340501792112,2,0
187,18700,0.1461675579322638,2,0
188,18800,0.14539007092198583,2,0
189,18900,0.14497354497354498,2,0
190,19000,0.14421052631578946,2,0
191,19100,0.14345549738219895,2,0
192,19200,0.14270833333333333,2,0
193,19300,0.14196891191709843,2,0
194,19400,0.14123711340206183,2,0
195,19500,0.14051282051282052,2,0
196,19600,0.13979591836734692,2,0
197,19700,0.13908629441624365,2,0
198,19800,0.1384680134680135,2,0
199,19900,0.13785594639865995,1,0
200,20000,0.13716666666666666,2,0
201,20100,0.13648424543946933,2,0
202,20200,0.1358085808580858,2,0
203,20300,0.13513957307060756,2,0
204,20400,0.13447712418300653,2,0
205,20500,0.13390243902439025,1,0
206,20600,0.13810679611650487,2,6
207,20700,0.13743961352657005,2,0
208,20800,0.13677884615384617,2,0
209,20900,0.13620414673046252,2,0
210,21000,0.1357142857142857,2,0
211,21100,0.13973143759873619,2,6
212,21200,0.13922955974842768,2,0
213,21300,0.1385758998435055,2,0
214,21400,0.13800623052959501,2,0
215,21500,0.13744186046511628,1,0
216,21600,0.13680555555555554,2,0
217,21700,0.13617511520737327,2,0
218,21800,0.13562691131498472,2,0
219,21900,0.13515981735159815,2,0
220,22000,0.13454545454545455,2,0
221,22100,0.1339366515837104,2,0
222,22200,0.13783783783783785,2,6
223,22300,0.1373692077727952,2,0
224,22400,0.13683035714285716,2,0
225,22500,0.13622222222222222,2,0
226,22600,0.13561946902654867,2,0
227,22700,0.13502202643171807,2,0
228,22800,0.1344298245614035,2,0
229,22900,0.13398835516739446,2,0
230,23000,0.13340579710144926,2,0
231,23100,0.132972582972583,2,0
232,23200,0.13663793103448274,2,6
233,23300,0.14027181688125892,2,6
234,23400,0.13974358974358972,2,0
235,23500,0.13921985815602836,2,0
236,23600,0.13877118644067796,2,0
237,23700,0.13825597749648383,1,0
238,23800,0.1376750700280112,2,0
239,23900,0.13716875871687587,2,0
240,24000,0.13680555555555554,2,0
241,24100,0.1363070539419087,2,0
242,24200,0.13574380165289254,2,0
243,24300,0.13916323731138547,2,6
244,24400,0.13859289617486337,2,0
245,24500,0.13809523809523808,2,0
246,24600,0.1375338753387534,2,0
247,24700,0.13704453441295547,2,0
248,24800,0.13655913978494624,2,0
249,24900,0.1360107095046854,2,0
250,25000,0.13546666666666668,2,0
251,25100,0.1349933598937583,1,0
252,25200,0.13445767195767194,2,0
253,25300,0.13399209486166008,2,0
254,25400,0.13346456692913386,2,0
255,25500,0.13294117647058823,2,0
256,25600,0.132421875,2,0
257,25700,0.13190661478599222,2,0
258,25800,0.1313953488372093,2,0
259,25900,0.1308880308880309,2,0
260,26000,0.13057692307692306,2,0
261,26100,0.1301404853128991,2,0
262,26200,0.12964376590330787,2,0
263,26300,0.12921419518377694,2,0
264,26400,0.1287247474747475,2,0
265,26500,0.12830188679245283,2,0
266,26600,0.13151629072681703,2,6
267,26700,0.1310861423220974,2,0
268,26800,0.13065920398009948,2,0
269,26900,0.1301734820322181,2,0
270,27000,0.1297530864197531,2,0
271,27100,0.12927429274292743,2,0
272,27200,0.12879901960784312,2,0
273,27300,0.12844932844932844,2,0
274,27400,0.12798053527980535,2,0
275,27500,0.1275757575757576,2,0
276,27600,0.12717391304347828,1,0
277,27700,0.12671480144404332,2,0
278,27800,0.12631894484412468,2,0
279,27900,0.1294504181600956,2,6
280,28000,0.12904761904761905,1,0
281,28100,0.12858837485172006,2,0
282,28200,0.12819148936170213,2,0
283,28300,0.13121319199057715,2,6
284,28400,0.13086854460093897,1,0
